object_id,field,field_group,value,certainty,source_id,locator
IBI-C0284839BFB8,provenance,provenance,"German art market 1989–1995; Museum Gallery, London, 1998–2003; London academic collection from 2003",reported,SRC-06ED81256DF5,"lot 1077, component 2 of 2; record 224609"
IBI-C0284839BFB8,script,script,Three concentric rings of recently overpainted pseudo-Aramaic script,reported,SRC-06ED81256DF5,"lot 1077, component 2 of 2; record 224609"
IBI-C06FF61EAB69,biblical_quotations,biblical_intertexts,"[""Exod. 3.5""]",reported,SRC-73C44B143A9D,"p. 160, distribution table, MS 2053/216"
IBI-C06FF61EAB69,current_or_reported_collection,location,The Schøyen Collection,reported,SRC-73C44B143A9D,"p. 160, distribution table, MS 2053/216"
IBI-C06FF61EAB69,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 160, distribution table, MS 2053/216"
IBI-C0936EFE772B,current_or_reported_collection,location,"Museum für Vor- und Frühgeschichte, Berlin",reported,SRC-A90AB34CA3FE,"p. 134, note 546"
IBI-C0936EFE772B,handwriting_attribution,practitioner,Dukhtīč daughter of Bahāroy,reported,SRC-A90AB34CA3FE,"p. 134, note 546"
IBI-C0936EFE772B,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-A90AB34CA3FE,"p. 134, note 546"
IBI-C0936EFE772B,text_tradition,ritual,Semamit historiola,reported,SRC-A90AB34CA3FE,"p. 134, note 546"
IBI-C0CEB7F095BD,inscription_language,language,Syriac?,uncertain,SRC-72D809FB4249,text 117ES; section pp. 147–149
IBI-C14FB1F238D2,catalogue_language_codes,language,heb,reported,SRC-9F753EDE148B,MMS 997008712396705171
IBI-C14FB1F238D2,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-9F753EDE148B,MMS 997008712396705171
IBI-C14FB1F238D2,dating,dating,400–899 CE,reported,SRC-9F753EDE148B,MMS 997008712396705171
IBI-C14FB1F238D2,dimensions,dimensions,Height 64 mm; source field ‘הקף’ 166 mm,reported,SRC-9F753EDE148B,MMS 997008712396705171
IBI-C1AF6481C19A,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-15
IBI-C1AF6481C19A,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-15
IBI-C1AF6481C19A,findspot,provenance,Found/Acquired: Iraq,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-15
IBI-C1AF6481C19A,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1886-0109-15
IBI-C1AF6481C19A,production_place,provenance,"Made in: Iraq, South",reported,SRC-3D4B57D27A24,Related objects: 1886-0109-15
IBI-C23526FF484B,catalogue_language_codes,language,heb,reported,SRC-927524F526DA,MMS 997008712402305171
IBI-C23526FF484B,current_location,location,"National Library of Israel, Jerusalem",reported,SRC-927524F526DA,MMS 997008712402305171
IBI-C23526FF484B,dating,dating,400–899 CE,reported,SRC-927524F526DA,MMS 997008712402305171
IBI-C23526FF484B,dimensions,dimensions,Height 67 mm; source field ‘הקף’ 200 mm,reported,SRC-927524F526DA,MMS 997008712402305171
IBI-C237D8E8489F,condition,condition,fragmentary,reported,SRC-3A8095B6D794,index entry BM021A
IBI-C2906E4D88F3,biblical_quotations,biblical_intertexts,"[""Deut. 29.22"", ""Deut. 29.27""]",reported,SRC-73C44B143A9D,"p. 155, distribution table, CAMIB 40"
IBI-C2906E4D88F3,current_or_reported_collection,location,British Museum,reported,SRC-73C44B143A9D,"p. 155, distribution table, CAMIB 40"
IBI-C2906E4D88F3,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-73C44B143A9D,"p. 155, distribution table, CAMIB 40"
IBI-C2E332F154A0,condition,condition,Broken and mended; small fragment missing.,reported,SRC-943673B56FB8,"Catalogue, text 24, printed p. 324; PDF p. 330; description column"
IBI-C2E332F154A0,current_or_reported_collection,location,Penn Museum,reported,SRC-943673B56FB8,"p. 324, item 24"
IBI-C2E332F154A0,dimensions,dimensions,height 7 cm; diameter 16.8 cm,reported,SRC-943673B56FB8,"p. 324, item 24"
IBI-C2E332F154A0,dimensions,dimensions,height 7 cm; diameter 16.8 cm,reported,SRC-943673B56FB8,"Catalogue, text 24, printed p. 324; PDF p. 330; size column (height by diameter)"
IBI-C2E332F154A0,findspot,provenance,Nippur,reported,SRC-943673B56FB8,"p. 324, item 24"
IBI-C2E332F154A0,inscription_language,language,Jewish Babylonian Aramaic,reported,SRC-943673B56FB8,"p. 324, item 24"
IBI-C2E332F154A0,publication_register_identifier,publication,CBS 2926,reported,SRC-943673B56FB8,"Catalogue, text 24, printed p. 324; PDF p. 330; catalogue number column"
IBI-C2FE0E6C16FE,current_location,location,The British Museum,reported,SRC-3D4B57D27A24,Related objects: 1974-1209-2
IBI-C2FE0E6C16FE,dating,dating,6thC-8thC,reported,SRC-3D4B57D27A24,Related objects: 1974-1209-2
IBI-C2FE0E6C16FE,period,dating,Late-Post Sasanian,reported,SRC-3D4B57D27A24,Related objects: 1974-1209-2
IBI-C2FE0E6C16FE,production_place,provenance,"Made in: Iraq, South",reported,SRC-3D4B57D27A24,Related objects: 1974-1209-2
