source_id,title,authors,issued_year,container_title,citation,doi,source_type,access_status,scope,scope_label,scope_basis,objects_published,document_held
SRC-68826E462E63,Four Aramaic Incantation Bowls,Geller [and others; see citation],1980,,"———. “Four Aramaic Incantation Bowls.” In The Bible World: Essays in Honor of Cyrus H. Gordon , ed. Gary Rendsburg, Ruth Adler, Milton Arfa, and Nathan H. Winter, 47–60. New York: Ktav, 1980.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-A8946898A981,Five Aramaic Incantation Bowls from Tell Baruda ( Choche),"Franco, Fulvio",1979,,"Franco, Fulvio. “Five Aramaic Incantation Bowls from Tell Baruda ( Choche).” Mesopotamia 13/14 (1978–1979): 233–49.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-77BC594D2166,"A Syriac Incantation Bowl in the Finnish National Museum, Helsinki",Tapani Harviainen,1978,,"Harviainen, Tapani. A Syriac Incantation Bowl in the Finnish National Museum, Helsinki. Studia Orientalia 51:1. Helsinki, 1978.",,book,partial,,Not yet classified,unclassified,0,0
SRC-589994C2222B,An Aramaic Incantation Bowl in the Allard Pierson Museum,Klaas A. D. Smelik,1978,Bibliotheca Orientalis,"Smelik, Klaas. ‘An Aramaic Incantation Bowl in the Allard Pierson Museum.’ Bibliotheca Orientalis 35 (1978): 174–177.",,article,partial,,Not yet classified,unclassified,0,0
SRC-D7DD2C56A96B,An Aramaic incantation bowl in the Allard Pierson Museum,Klaas Smelik,1978,Ghent University Academic Bibliography (Ghent University),An Aramaic incantation bowl in the Allard Pierson Museum (1978). OpenAlex W2624188500.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-E14B9966B61E,Two Aramaic Incantations,Gordon [and others; see citation],1978,,"———. “Two Aramaic Incantations.” In Biblical and Near Eastern Studies: Essays in Honor of William Sanford LaSor , ed. Gary A. Tuttle, 231–44. Grand Rapids: Eerdmans, 1978.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-B1AA93ACD1E1,Two Incantation Bowls Inscribed in Syriac and Aramaic,Markham J. Geller,1976,Bulletin of the School of Oriental and African Studies,"Geller, Markham J. ‘Two Incantation Bowls Inscribed in Syriac and Aramaic.’ BSOAS 39, no. 2 (1976): 422–427.",10.1017/S0041977X00050096,article,partial,,Not yet classified,unclassified,0,0
SRC-0F771B1F1909,Two New Aramaic Incantation Bowls,Isbell [and others; see citation],1976,BASOR,———. “Two New Aramaic Incantation Bowls.” BASOR 223 (1976): 15–23.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-D670EE201303,Appendix C: Alphabetic Texts,Kaufman [and others; see citation],1975,,"———. “ Appendix C: Alphabetic Texts.” In Excavations at Nippur: Eleventh Season, ed. McGuire Gibson, 151-52. Chicago: University of Chicago Press, 1975.",,chapter,unknown,,Not yet classified,unclassified,0,0
SRC-1FE46019356A,Corpus of the Aramaic Incantation Bowls,"Isbell, Charles D",1975,,"Isbell, Charles D. Corpus of the Aramaic Incantation Bowls . SBLDS 17. Missoula, MT: Society of Biblical Literature, 1975.",,book,unknown,corpus_edition,Edition of many bowls,derived,17,0
SRC-B4623876826F,A Unique Magic Bowl from Nippur,"Kaufman, Stephen A",1973,JNES,"Kaufman, Stephen A. “ A Unique Magic Bowl from Nippur.” JNES 32 (1973): 170–74.",,article,unknown,,Not yet classified,unclassified,0,0
SRC-3EBD27903913,Epigraphic Notes: Four Aramaic Magic Bowls in the Hermitage Museum,Borisov [and others; see citation],1969,,———. “Epigraphic Notes: Four Aramaic Magic Bowls in the Hermitage Museum” [Russian]. Epigraphics of the East 19 (1969): 3–13.,,article,unknown,,Not yet classified,unclassified,0,0
SRC-539BB677443B,Jewish and Mandaean Incantation Bowls in the Royal Ontario Museum,W. S. McCullough,1967,,"McCullough, W. S. Jewish and Mandaean Incantation Bowls in the Royal Ontario Museum. Toronto: University of Toronto Press, 1967, DA 5.",,book,available,corpus_edition,Edition of many bowls,derived,2,0
SRC-AF9EF12C3CB9,Mandaic Incantation Texts,Edwin M. Yamauchi,1967,American Oriental Series 49,"Yamauchi, Edwin M. Mandaic Incantation Texts. American Oriental Series 49. New Haven: American Oriental Society, 1967.",,book,partial,,Not yet classified,unclassified,0,0
SRC-298080BE701F,Aramaic Magic Bowls,"Yamauchi, Edwin M",1965,JAOS,"Yamauchi, Edwin M. “ Aramaic Magic Bowls.” JAOS 85 (1965): 511–23.",,article,unknown,,Not yet classified,unclassified,0,0
