identity_id,canonical_object_id,member_ids,display_name,record_status,member_count,source_count,appearance_count,completeness_score,content_completeness,reading_score
IDENT-17B5BAA1746B,IBI-17B5BAA1746B,"[""IBI-17B5BAA1746B""]",Nippur Excavation 12 N 5,probable,1,1,1,2,0,0
IDENT-17BB2C48B051,IBI-17BB2C48B051,"[""IBI-17BB2C48B051""]",Ābgīne Museum 109–S,confirmed,1,1,1,4,1,1
IDENT-17CAC92E4C51,IBI-17CAC92E4C51,"[""IBI-17CAC92E4C51"", ""IBI-4F94BCF5D73A""]",030A,probable,2,2,2,1,1,0
IDENT-18453A93A7E2,IBI-18453A93A7E2,"[""IBI-18453A93A7E2""]",Hilprecht Collection HS 3048,confirmed,1,1,1,4,0,0
IDENT-185FCCE03C08,IBI-185FCCE03C08,"[""IBI-185FCCE03C08""]",British Museum 91775: incantation bowl,probable,1,1,1,3,0,0
IDENT-189465D21A81,IBI-189465D21A81,"[""IBI-189465D21A81""]",British Museum 102984: incantation bowl,probable,1,1,1,3,0,0
IDENT-18B688C301FD,IBI-18B688C301FD,"[""IBI-18B688C301FD""]",Penn B2978: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-18D560D6B24D,IBI-18D560D6B24D,"[""IBI-18D560D6B24D""]",British Museum 103356: incantation bowl,probable,1,1,1,3,0,0
IDENT-193FF4627DC7,IBI-193FF4627DC7,"[""IBI-193FF4627DC7""]",JNF 188,probable,1,1,1,1,2,1
IDENT-19825182523D,IBI-B8B09844C8B9,"[""IBI-19825182523D"", ""IBI-B8B09844C8B9""]",Khafaje bowl A17877,probable,2,2,2,2,1,0
IDENT-19E101F5D705,IBI-19E101F5D705,"[""IBI-19E101F5D705""]",AMB 11,probable,1,1,1,1,1,1
IDENT-19F212ABD00E,IBI-19F212ABD00E,"[""IBI-19F212ABD00E""]",Penn B2932: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-19FEDBE86525,IBI-19FEDBE86525,"[""IBI-19FEDBE86525""]",Apotropaic index ABD,candidate,1,1,1,0,0,0
IDENT-1A098436B031,IBI-F094DE6A4112,"[""IBI-1A098436B031"", ""IBI-DDC4E29E455A"", ""IBI-F094DE6A4112""]",CBS 9012,probable,3,3,3,8,2,7
IDENT-1A2C37C1994B,IBI-1A2C37C1994B,"[""IBI-1A2C37C1994B"", ""IBI-8FE3072526F1""]",VA 3853,probable,2,2,2,2,1,1
IDENT-1A5EEE1F1990,IBI-1A5EEE1F1990,"[""IBI-1A5EEE1F1990""]",Penn B16100: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-1A838B4D55F0,IBI-1A838B4D55F0,"[""IBI-1A838B4D55F0""]",Penn B16099: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-1AA57FC2F33B,IBI-1AA57FC2F33B,"[""IBI-1AA57FC2F33B""]",Penn B16076: Hebrew Bowl,candidate,1,1,1,3,0,2
IDENT-1AAF876317AA,IBI-1AAF876317AA,"[""IBI-1AAF876317AA""]",131Ps,probable,1,1,1,1,0,0
IDENT-1ABF133E056F,IBI-1ABF133E056F,"[""IBI-1ABF133E056F""]",NLI incantation bowl 107 (Ms. Heb. 9467.28),confirmed,1,1,1,4,0,0
IDENT-1AF2D2009F51,IBI-591F2729082B,"[""IBI-1AF2D2009F51"", ""IBI-591F2729082B""]",ZRL 48,probable,2,2,2,1,1,1
IDENT-1B3C1020F7B0,IBI-1B3C1020F7B0,"[""IBI-1B3C1020F7B0""]",AMB 03,probable,1,1,1,1,1,1
IDENT-1B4164A69AEB,IBI-1B4164A69AEB,"[""IBI-1B4164A69AEB""]",087M,probable,1,1,1,1,0,0
IDENT-1B7355F5BA43,IBI-1B7355F5BA43,"[""IBI-1B7355F5BA43""]",Müller-Kessler 2013,probable,1,1,1,1,1,1
